Year,Date,Attendance,Location,Opponent,Team,Venue Capacity,
2019,25-Jun,4215,Mandalay Bay Events Center,Seattle Storm,Las Vegas Aces,4413,
2019,14-Aug,5004,College Park Center,Dallas Wings,Los Angeles Sparks,7700,
2019,3-Sep,9889,STAPLES Center,Atlanta Dream,Los Angeles Sparks,14050,
2019,27-Aug,4200,Entertainment and Sports Arena,Washington Mystics,Los Angeles Sparks,4200,sellout
2019,20-Jul,2195,Westchester County Center,New York Liberty,Los Angeles Sparks,3579,
2019,8-Sep,13500,STAPLES Center,Minnesota Lynx,Los Angeles Sparks,14050,
2019,31-Aug,8470,Mandalay Bay Events Center,Las Vegas Aces,Los Angeles Sparks,4413,
2019,29-Aug,5641,Bankers Life Fieldhouse,Indiana Fever,Los Angeles Sparks,18165,
2019,15-Sep,9081,STAPLES Center,Seattle Storm,Los Angeles Sparks,14050,
2019,22-Sep,4000,Walter Pyramid at Long Beach State,Conneticut Sun,Los Angeles Sparks,4000,Sellout
2019,16-Aug,7907,Wintrust Arena,Chicago Sky,Los Angeles Sparks,10387,
2019,8-Aug,10345,STAPLES Center,Phoenix Mercury,Los Angeles Sparks,14050,
2019,26-May,7249,Mandalay Bay Events Center,Las Vegas Aces,Los Angeles Sparks,4413,
2019,31-May,12334,STAPLES Center,Conneticut Sun,Los Angeles Sparks,14050,
2019,4-Jun,3579,Westchester County Center,New York Liberty,Los Angeles Sparks,3579,Sellout
2019,6-Jun,5496,Mohegan Sun Arena,Conneticut Sun,Los Angeles Sparks,10211,
2019,8-Jun,8834,Target Center,Minnesota Lynx,Los Angeles Sparks,18798,
2019,14-Jun,10381,Talking Stick Resort Arena,Phoenix Mercury,Los Angeles Sparks,18055,
2019,15-Jun,11388,STAPLES Center,New York Liberty,Los Angeles Sparks,14050,
2019,18-Jun,9537,STAPLES Center,Washington Mystics,Los Angeles Sparks,14050,
2019,21-Jun,6114,Angel of the Winds Arena,Seattle Storm,Los Angeles Sparks,10000,
2019,23-Jun,10132,Talking Stick Resort Arena,Phoenix Mercury,Los Angeles Sparks,18055,
2019,27-Jun,10295,STAPLES Center,Las Vegas Aces,Los Angeles Sparks,14050,
2019,30-Jun,11067,STAPLES Center,Chicago Sky,Los Angeles Sparks,14050,
2019,7-Jul,10336,STAPLES Center,Washington Mystics,Los Angeles Sparks,14050,
2019,9-Jul,6885,College Park Center,Dallas Wings,Los Angeles Sparks,7700,
2019,12-Jul,7849,Bankers Life Fieldhouse,Indiana Fever,Los Angeles Sparks,18165,
2019,14-Jul,5083,State Farm Arena,Atlanta Dream,Los Angeles Sparks,19050,
2019,18-Jul,14050,STAPLES Center,Dallas Wings,Los Angeles Sparks,14050,Sellout
2019,20-Jul,2195,Westchester County Center,New York Liberty,Los Angeles Sparks,3579,
2019,23-Jul,7047,State Farm Arena,Atlanta Dream,Los Angeles Sparks,19050,
2019,1-Aug,11692,STAPLES Center,Las Vegas Aces,Los Angeles Sparks,14050,
2019,4-Aug,12820,STAPLES Center,Seattle Storm,Los Angeles Sparks,14050,
2019,8-Aug,10345,STAPLES Center,Phoenix Mercury,Los Angeles Sparks,14050,
2019,11-Aug,9244,STAPLES Center,Chicago Sky,Los Angeles Sparks,14050,
2019,14-Aug,5004,College Park Center,Dallas Wings,Los Angeles Sparks,7700,
2019,16-Aug,7907,Wintrust Arena,Chicago Sky,Los Angeles Sparks,10387,
2019,20-Aug,9244,STAPLES Center,Minnesota Lynx,Los Angeles Sparks,14050,
2019,22-Aug,8816,STAPLES Center,Indiana Fever,Los Angeles Sparks,14050,
2019,25-Aug,17076,STAPLES Center,Conneticut Sun,Los Angeles Sparks,14050,sellout
2019,27-Aug,4200,Entertainment and Sports Arena,Washington Mystics,Los Angeles Sparks,4200,Sellout
2019,29-Aug,5641,Bankers Life Fieldhouse,Indiana Fever,Los Angeles Sparks,18165,
2019,31-Aug,8470,Mandalay Bay Events Center,Las Vegas Aces,Los Angeles Sparks,4413,
2019,3-Sep,9889,STAPLES Center,Atlanta Dream,Los Angeles Sparks,14050,
2019,5-Sep,10592,STAPLES Center,Seattle Storm,Los Angeles Sparks,14050,
2019,8-Sep,13500,STAPLES Center,Minnesota Lynx,Los Angeles Sparks,14050,Sellout
2019,15-Sep,9081,STAPLES Center,Seattle Storm,Los Angeles Sparks,14050,
2019,17-Sep,7102,Mohegan Sun Arena,Conneticut Sun,Los Angeles Sparks,10211,
2019,19-Sep,8051,Mohegan Sun Arena,Conneticut Sun,Los Angeles Sparks,10211,
2019,22-Sep,4000,Walter Pyramid at Long Beach State,Conneticut Sun,Los Angeles Sparks,4000,Sellout
2019,19-Sep,8051,Mohegan Sun Arena,Conneticut Sun,Los Angeles Sparks,10211,
2019,23-Jul,7047,State Farm Arena,Atlanta Dream,Los Angeles Sparks,19050,
2019,20-Jul,2195,Westchester County Center,New York Liberty,Los Angeles Sparks,3579,
2019,18-Jul,14050,STAPLES Center,Dallas Wings,Los Angeles Sparks,14050,Sellout
2019,14-Jul,5083,State Farm Arena,Atlanta Dream,Los Angeles Sparks,19050,
